Position in alignment,BHV5 - BHV5,BHV5 - C46,BHV5 - Titanium_IBR_MLV_vaccine,BHV5 - 216_II,BHV5 - SP1777,BHV5 - K22,BHV5 - B589,BHV5 - Cooper
100,0,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0,24.9500000029802
200,0,25,25,25,0,0,0,25
300,0,25,25,25,0,0,0,25
400,0,25,25,25,0,0,0,25
500,0,25,25,25,0,0,0,25
600,0,25,25,25,0,0,0,25
700,0,25,25,25,0,0,0,25
800,0,24.9000000059605,24.9000000059605,24.9000000059605,0,0,0.400000005960464,24.9000000059605
900,0,25,25,25,0,0,0,25
1000,0,25,25,25,0,0,0,25
1100,0,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0,24.9500000029802
1200,0,25,25,25,0,0,0,25
1300,0,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0,24.9500000029802
1400,0,25,25,25,0,0,0,25
1500,0,24.8500000089407,24.8500000089407,24.8500000089407,0.400000005960464,0.200000002980232,0,24.8500000089407
1600,0,24.6000000238419,24.6000000238419,24.6000000238419,0.733333349227905,0.366666674613953,0.500000014901161,24.6000000238419
1700,0,24.6000000238419,24.6000000238419,24.6000000238419,0.700000017881393,0,0.900000020861626,24.6000000238419
1800,0,24.5500000268221,24.5500000268221,24.5500000268221,0.900000020861626,0,0.900000020861626,24.5500000268221
1900,0,23.9000000655651,23.9000000655651,23.9000000655651,1.50000004470348,0,2.90000006556511,23.9000000655651
2000,0,24.7500000149012,24.7500000149012,24.7500000149012,0.500000014901161,0,0.500000014901161,24.7500000149012
2100,0,29.4166672080755,29.4166672080755,11.4166666716337,0.16666667163372,0,0.16666667163372,29.4166672080755
2200,0,30.0000005960464,30.0000005960464,10,0,0,0,30.0000005960464
2300,0,29.8333339244127,29.8333339244127,10.1666666716337,0.16666667163372,0,0.16666667163372,29.8333339244127
2400,0,30.1666672974825,30.1666672974825,9.16666667163372,0.16666667163372,0,0.16666667163372,30.1666672974825
2500,0,30.2261911183596,30.2261911183596,8.89285714924335,0.142857149243355,0.142857149243355,0.142857149243355,30.2261911183596
2600,0,30.2500006258488,30.2500006258488,9.25,0,0,0,30.2500006258488
2700,0,29.7500005662441,29.7500005662441,10.75,0,0,0,29.7500005662441
2800,0,30.8333340287209,30.8333340287209,7.5,0,0,0,30.8333340287209
2900,0,24.5261905044317,24.5261905044317,24.5261905044317,1.27619050443172,0.142857149243355,0.476190492510796,24.5261905044317
3000,0,8.11666667461395,40.2833333909512,40.2833333909512,2.53333339095116,0.66666667163372,0,8.11666667461395
3100,0,11.0666668862104,61.4000002592802,12.6166666895151,2.65000005066395,0.833333358168602,0.366666674613953,11.0666668862104
3200,0,10.150000244379,69.3166669607162,2.70000003278255,6.15000006556511,0.533333346247673,1.00000002980232,10.150000244379
3300,0,13.6000003516674,59.9333337247372,3.66666668653488,6.18333339691162,2.43333338201046,0.583333343267441,13.6000003516674
3400,0,10.9833336472511,74.8166669905186,0,2.48333334922791,0.533333346247673,0.200000002980232,10.9833336472511
3500,0,14.0000004172325,70.5833337605,0,0.583333343267441,0.25,0.583333343267441,14.0000004172325
3600,0,12.3666670322418,74.3666670322418,0,0.366666674613953,0.16666667163372,0.366666674613953,12.3666670322418
3700,0,4.33333346247673,46.3333334624767,0,7.83333334326744,0.833333343267441,0.333333343267441,4.33333346247673
3800,0,12.3333337008953,12.3333337008953,0,0,0,0,12.3333337008953
3900,0,13.3333337306976,13.3333337306976,0,0,0,0,13.3333337306976
4000,0,13.3333337306976,13.3333337306976,0,1,0,0,13.3333337306976
4100,0,14.5833337605,14.5833337605,0.25,0,0,0,14.5833337605
4200,0,10.6666669845581,10.6666669845581,0,1,0,0,10.6666669845581
4300,0,16.0000004768372,16.0000004768372,2,0.5,0.5,0,16.0000004768372
4400,0,15.500000461936,15.500000461936,2,0.16666667163372,0.16666667163372,0.16666667163372,15.500000461936
4500,0,33.3333343267441,33.3333343267441,0,0,0,0,33.3333343267441
4600,0,33.2500009834766,33.2500009834766,0.25,0,0,0,33.2500009834766
4700,0,22.3333334922791,22.3333334922791,0.366666674613953,22.3333334922791,7.63333348929882,2.66666674613953,22.3333334922791
4800,0,31.4666675180197,31.4666675180197,0,3.80000002682209,1.30000002682209,0.500000014901161,31.4666675180197
4900,0,31.6500008404255,31.6500008404255,0,3.98333334922791,0.733333349227905,0.333333343267441,31.6500008404255
5000,0,31.6166675388813,31.6166675388813,0.200000002980232,3.28333336114883,1.3333333581686,0.333333343267441,31.6166675388813
5100,0,32.8666676133871,32.8666676133871,1,0.200000002980232,0,0.200000002980232,32.8666676133871
5200,0,32.6833342760801,32.6833342760801,0.5,0.850000008940697,0.200000002980232,0.400000005960464,32.6833342760801
5300,0,32.7000009268522,32.7000009268522,1.20000000298023,0.700000002980232,0,0,32.7000009268522
5400,0,32.7000009268522,32.7000009268522,1.20000000298023,0.700000002980232,0,0,32.7000009268522
5500,0,32.8666676282883,32.8666676282883,0.66666667163372,0.366666674613953,0,0.366666674613953,32.8666676282883
